Time,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Label
Mon Sep 24 16:37:50 2018,-0.227,0.213,-0.905,-61.432,-71.907,42.107,33.045,36.665,-46.583,1
Mon Sep 24 16:37:51 2018,-0.219,-0.066,-0.826,42.068,-25.154,1.396,31.048,35.381,-48.86,2
Mon Sep 24 16:37:51 2018,-0.146,-0.231,-0.923,12.512,26.108,23.3,39.4,34.648,-46.058,1
Mon Sep 24 16:37:51 2018,-0.024,-0.391,-0.735,-14.633,132.744,-73.601,31.593,32.265,-54.989,1
Mon Sep 24 16:37:51 2018,0.095,-0.988,-1.158,-67.101,-202.904,85.777,33.408,30.432,-51.136,1
Mon Sep 24 16:37:51 2018,-0.098,-0.747,-0.93,14.778,-110.092,73.006,37.04,29.332,-52.187,1
Mon Sep 24 16:37:52 2018,-0.086,-0.286,-1.082,-2.808,-0.74,-10.62,38.129,27.499,-52.537,1
Mon Sep 24 16:37:52 2018,-0.639,-0.36,-0.816,74.646,-21.225,100.166,35.587,27.865,-54.639,1
Mon Sep 24 16:37:52 2018,-0.521,-0.023,-0.842,-58.167,-203.003,92.766,36.313,27.499,-54.639,0
Mon Sep 24 16:37:52 2018,-0.167,-0.515,-0.815,47.546,82.703,-41.168,38.129,28.232,-54.639,0
Mon Sep 24 16:37:53 2018,-0.29,-0.345,-0.926,-45.219,105.446,-18.12,36.676,25.665,-55.339,0
Mon Sep 24 16:37:53 2018,-0.219,-0.381,-0.922,-35.164,46.181,-29.678,38.129,27.499,-54.639,0
Mon Sep 24 16:37:53 2018,-0.074,-0.781,-1.001,-38.963,-158.859,106.934,34.316,26.949,-54.464,0
Mon Sep 24 16:37:53 2018,-0.326,-0.636,-1.058,31.937,32.44,-4.509,35.042,27.315,-51.662,0
Mon Sep 24 16:37:54 2018,-0.392,-0.197,-1.104,83.29,-250,146.568,36.313,26.765,-50.786,1
Mon Sep 24 16:37:54 2018,-0.534,-0.633,-1.147,-29.648,-22.972,59.799,37.947,28.415,-51.662,2
Mon Sep 24 16:37:54 2018,-0.516,-0.577,-0.967,-8.148,-5.013,9.415,35.042,28.415,-52.012,2
Mon Sep 24 16:37:54 2018,-0.439,-0.243,-0.861,-30.556,-171.783,125.824,36.858,29.148,-49.91,1
Mon Sep 24 16:37:55 2018,-0.31,-0.705,-0.743,-17.99,72.716,-31.845,36.132,29.148,-51.662,2
Mon Sep 24 16:37:55 2018,0.022,-1.5,-0.975,-14.03,-74.547,22.049,36.676,31.898,-50.786,1
Mon Sep 24 16:37:55 2018,-0.551,-0.475,-1.012,55.786,35.172,-50.392,36.858,28.782,-52.362,1
Mon Sep 24 16:37:55 2018,-0.224,-1.416,-0.805,77.499,-53.551,13.069,36.495,29.882,-52.362,2
Mon Sep 24 16:37:56 2018,-0.367,-0.696,-0.955,11.04,-25.78,5.18,34.498,30.065,-53.938,1
Mon Sep 24 16:37:56 2018,-0.256,-0.31,-0.859,-7.919,-24.261,37.88,35.769,30.248,-52.012,1
Mon Sep 24 16:37:56 2018,-0.265,-0.562,-0.908,21.263,25.917,-28.778,33.771,30.798,-53.238,0
